"MB51_ID","MB51_TRANSACTION_DATE","MB51_MATERIAL_CODE","MB51_DESCRIPTION","MB51_POSTING_DATE","MB51_MATERIAL_DOC","MB51_QUANTITY","MB51_UNIT","MB51_LOCATION","MB51_BATCH","MB51_MANUFACTURE_DATE","MB51_TIME","MB51_ORDER","MB51_USERNAME","MB51_HEADER_TEXT","MB51_RESERVATION","MB51_TEXT","MB51_GOODS_RECIPIENT","MB51_PLANT","MB51_BASE_UNIT","MB51_COMPANY_CODE","MB51_COST_CENTER","MB51_DOCUMENT_DATE","MB51_ENTRY_DATE","MB51_GL","MB51_MATERIAL_DOC_YEAR","MB51_MVT","MB51_MOVEMENT_TEXT","MB51_ORDER_UNIT","MB51_NAME1","MB51_QUANTITY_PURCHASE","MB51_PURCHASE_ORDER","MB51_REFERENCE","MB51_SALES_ORDER","MB51_SALES_ORDER1","MB51_VENDOR","MB51_UNLOADING_POINT","MB51_VALUATION_TYPE","MB51_SPECIAL_STOCK","MB51_AMOUNT","FILE_LOG_ID","MB51_FLAG"
"13106353","2026-06-08","58000004","Film roll All cafe500g.420mm*900m","2026-06-08","4913098559","36000.000","PC","P003","20260521",NULL,"10:40:29",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-08","2026-06-08",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","36000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9366",NULL
"13106354","2026-06-08","58000004","Film roll All cafe500g.420mm*900m","2026-06-08","4913098559","-36000.000","PC","M003","20260521",NULL,"10:40:29",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-08","2026-06-08",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-36000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9366",NULL
"13107098","2026-06-08","59000004","Super  Blend  500 G.","2026-06-08","4913118890","-19.000","BAG","P004","260602",NULL,"14:46:09",NULL,"CHONMPRA",NULL,"0",NULL,"0002045798","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-9500.00",NULL,"2000122477",NULL,NULL,NULL,NULL,NULL,NULL,"-2766.40","9366",NULL
"13107284","2026-06-08","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-08","4913101372","1.000","BOX","M001","280502-R/T",NULL,"11:40:34",NULL,"JURASDOK",NULL,"0",NULL,"0001000244","0328","G","0003",NULL,"2026-06-08","2026-06-08","51003100","2026","653","GD returns unrestr.",NULL,"โรงคั่วสุวรรณภูมิ","3000.00",NULL,"2100000936",NULL,NULL,NULL,NULL,NULL,NULL,"1013.52","9366",NULL
"13116900","2026-06-09","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-09","4913186149","-1258.000","BOX","M001","040602-R/T",NULL,"11:12:32",NULL,"RAPEESAN01",NULL,"0",NULL,"0001000246","0328","G","0003",NULL,"2026-06-09","2026-06-09","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-3774000.00",NULL,"2000122568",NULL,NULL,NULL,NULL,NULL,NULL,"-1275008.16","9372",NULL
"13116901","2026-06-09","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-09","4913222222","-5.000","BAG","M001","040602-R/T",NULL,"20:14:44",NULL,"PRONDTAN",NULL,"149936032","Routine 09.06.26.1 A013R002",NULL,"0328","G","0003","405053.00","2026-06-09","2026-06-09","67501001","2026","927","GI ค่าวิจัยและพัฒนา",NULL,"โรงคั่วสุวรรณภูมิ","-2500.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-846.90","9372",NULL
"13116902","2026-06-09","54000541","แอตลาส_เติมแก๊ส LPG ขนาด48Kg.2หัว","2026-06-09","5005641124","15.000","PC","M004","06-26",NULL,"15:51:38",NULL,"WANTILER","305056667","0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","101","GR goods receipt","PC","โรงคั่วสุวรรณภูมิ","15.00","305056667","IVV0082606080769",NULL,NULL,"2048975",NULL,NULL,NULL,"15525.00","9372",NULL
"13116903","2026-06-09","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-09","4913193799","-2.000","BAG","P004","090426-T/B",NULL,"14:07:02",NULL,"THANAWIS",NULL,"0",NULL,"OTC0400","0328","G","0003",NULL,"2026-06-09","2026-06-09","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-1000.00",NULL,"2000122576",NULL,NULL,NULL,NULL,NULL,NULL,"-337.98","9372",NULL
"13117795","2026-06-09","58000002","WIPF WICOVALVE W009","2026-06-09","4913189673","20000.000","PC","P003","20260427",NULL,"12:48:06",NULL,"RAPEESAN01",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","20000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9372",NULL
"13117796","2026-06-09","58000002","WIPF WICOVALVE W009","2026-06-09","4913189673","-20000.000","PC","M003","20260427",NULL,"12:48:06",NULL,"RAPEESAN01",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-20000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9372",NULL
"13117797","2026-06-09","58000006","All Cafe ลังกระดาษ (287*240*177 mm.)","2026-06-09","4913189673","2336.000","PC","P003","20260518",NULL,"12:48:06",NULL,"RAPEESAN01",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","2336.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9372",NULL
"13117798","2026-06-09","58000006","All Cafe ลังกระดาษ (287*240*177 mm.)","2026-06-09","4913189673","-2336.000","PC","M003","20260518",NULL,"12:48:06",NULL,"RAPEESAN01",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-2336.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9372",NULL
"13117799","2026-06-09","58000004","Film roll All cafe500g.420mm*900m","2026-06-09","4913189673","-18000.000","PC","M003","20260521",NULL,"12:48:06",NULL,"RAPEESAN01",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-18000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9372",NULL
"13117800","2026-06-09","58000004","Film roll All cafe500g.420mm*900m","2026-06-09","4913189673","18000.000","PC","P003","20260521",NULL,"12:48:06",NULL,"RAPEESAN01",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","18000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9372",NULL
"13117801","2026-06-09","58000006","All Cafe ลังกระดาษ (287*240*177 mm.)","2026-06-09","4913189673","1664.000","PC","P003","20260525",NULL,"12:48:06",NULL,"RAPEESAN01",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","1664.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9372",NULL
"13117802","2026-06-09","58000006","All Cafe ลังกระดาษ (287*240*177 mm.)","2026-06-09","4913189673","-1664.000","PC","M003","20260525",NULL,"12:48:06",NULL,"RAPEESAN01",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-1664.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9372",NULL
"13117803","2026-06-09","58000003","Film roll Gold blend 420mm*900m","2026-06-09","5005639889","1.000","ROL","M003","20260609",NULL,"14:57:19",NULL,"PRONDTAN","305057086","0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","101","GR goods receipt","ROL","โรงคั่วสุวรรณภูมิ","3000.00","305057086","IV6906108",NULL,NULL,"2043579",NULL,NULL,NULL,"5150.00","9372",NULL
"13117804","2026-06-09","58000004","Film roll All cafe500g.420mm*900m","2026-06-09","5005639887","55.000","ROL","M003","20260609",NULL,"14:54:22",NULL,"PRONDTAN","305054599","0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-09","2026-06-09",NULL,"2026","101","GR goods receipt","ROL","โรงคั่วสุวรรณภูมิ","165000.00","305054599","IV6906107",NULL,NULL,"2043579",NULL,NULL,NULL,"343750.00","9372",NULL
"13117828","2026-06-09","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-09","4913222222","-1.000","BAG","M001","230504-TTW",NULL,"20:14:44",NULL,"PRONDTAN",NULL,"149936032","Routine 09.06.26.1 A013R002",NULL,"0328","G","0003","405053.00","2026-06-09","2026-06-09","67501001","2026","927","GI ค่าวิจัยและพัฒนา",NULL,"โรงคั่วสุวรรณภูมิ","-500.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-169.38","9372",NULL
"13117829","2026-06-09","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-09","4913222222","-4.000","BAG","M001","230504-TTW",NULL,"20:14:44",NULL,"PRONDTAN",NULL,"149936032","Retain 09.06.26.1 A013R002",NULL,"0328","G","0003","405053.00","2026-06-09","2026-06-09","67501001","2026","927","GI ค่าวิจัยและพัฒนา",NULL,"โรงคั่วสุวรรณภูมิ","-2000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-677.52","9372",NULL
"13117830","2026-06-09","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-09","4913186149","-1490.000","BOX","M001","230504-TTW",NULL,"11:12:32",NULL,"RAPEESAN01",NULL,"0",NULL,"0001000246","0328","G","0003",NULL,"2026-06-09","2026-06-09","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-4470000.00",NULL,"2000122568",NULL,NULL,NULL,NULL,NULL,NULL,"-1510144.80","9372",NULL
"13117905","2026-06-09","59000011","กาแฟมวลชน CLASSIC ขนาด 500 G.","2026-06-09","4913180080","-200.000","BAG","P004","260428TB",NULL,"09:14:07",NULL,"THANAWIS",NULL,"0",NULL,"0001102079","0328","G","0003",NULL,"2026-06-09","2026-06-09","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-100000.00",NULL,"2000122560",NULL,NULL,NULL,NULL,NULL,NULL,"-37490.00","9372",NULL
"13118874","2026-06-09","59000004","Super  Blend  500 G.","2026-06-09","4913180228","-72.000","BAG","P004","260602",NULL,"09:15:26",NULL,"THANAWIS",NULL,"0",NULL,"0002037850","0328","G","0003",NULL,"2026-06-09","2026-06-09","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-36000.00",NULL,"2000122561",NULL,NULL,NULL,NULL,NULL,NULL,"-10483.20","9372",NULL
"13119017","2026-06-09","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-09","4913222222","-2.000","BAG","M001","280501TR/T",NULL,"20:14:44",NULL,"PRONDTAN",NULL,"149936032","Retain 09.06.26.1 A013R002",NULL,"0328","G","0003","405053.00","2026-06-09","2026-06-09","67501001","2026","927","GI ค่าวิจัยและพัฒนา",NULL,"โรงคั่วสุวรรณภูมิ","-1000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"-338.76","9372",NULL
"13119018","2026-06-09","59000002","GOLD BLEND ALL CAFE'  ขนาด 500 G.","2026-06-09","4913186149","-132.000","BOX","M001","280501TR/T",NULL,"11:12:32",NULL,"RAPEESAN01",NULL,"0",NULL,"0001000246","0328","G","0003",NULL,"2026-06-09","2026-06-09","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-396000.00",NULL,"2000122568",NULL,NULL,NULL,NULL,NULL,NULL,"-133784.64","9372",NULL
"13128194","2026-06-10","54000541","แอตลาส_เติมแก๊ส LPG ขนาด48Kg.2หัว","2026-06-10","5005681710","15.000","PC","M004","06-26",NULL,"18:33:24",NULL,"WANTILER","305056667","0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-10","2026-06-10",NULL,"2026","101","GR goods receipt","PC","โรงคั่วสุวรรณภูมิ","15.00","305056667","IVV0082606090825",NULL,NULL,"2048975",NULL,NULL,NULL,"15525.00","9378",NULL
"13128195","2026-06-10","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-10","4913274670","-4.000","BAG","P004","090426-T/B",NULL,"13:47:33",NULL,"THANAWIS",NULL,"0",NULL,"OTC0400","0328","G","0003",NULL,"2026-06-10","2026-06-10","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-2000.00",NULL,"2000122693",NULL,NULL,NULL,NULL,NULL,NULL,"-677.44","9378",NULL
"13128196","2026-06-10","59000001","เมล็ดกาแฟ CPR Coffee Bean  MF. 500 G.","2026-06-10","4913293543","-12.000","BAG","P004","090426-T/B",NULL,"15:05:24",NULL,"THANAWIS",NULL,"0",NULL,"0001101918","0328","G","0003",NULL,"2026-06-10","2026-06-10","51003100","2026","601","GD goods issue:delvy",NULL,"โรงคั่วสุวรรณภูมิ","-6000.00",NULL,"2000122710",NULL,NULL,NULL,NULL,NULL,NULL,"-2032.32","9378",NULL
"13128826","2026-06-10","58000002","WIPF WICOVALVE W009","2026-06-10","4913274165","-30000.000","PC","M003","20260427",NULL,"13:36:13",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-10","2026-06-10",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-30000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9378",NULL
"13128827","2026-06-10","58000002","WIPF WICOVALVE W009","2026-06-10","4913274165","30000.000","PC","P003","20260427",NULL,"13:36:13",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-10","2026-06-10",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","30000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9378",NULL
"13128828","2026-06-10","58000004","Film roll All cafe500g.420mm*900m","2026-06-10","4913274165","-18000.000","PC","M003","20260521",NULL,"13:36:13",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-10","2026-06-10",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-18000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9378",NULL
"13128829","2026-06-10","58000004","Film roll All cafe500g.420mm*900m","2026-06-10","4913274165","18000.000","PC","P003","20260521",NULL,"13:36:13",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-10","2026-06-10",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","18000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9378",NULL
"13128830","2026-06-10","58000006","All Cafe ลังกระดาษ (287*240*177 mm.)","2026-06-10","4913274165","-4000.000","PC","M003","20260525",NULL,"13:36:13",NULL,"PRONDTAN",NULL,"0",NULL,NULL,"0328","PC","0003",NULL,"2026-06-10","2026-06-10",NULL,"2026","311","TF trfr within plant",NULL,"โรงคั่วสุวรรณภูมิ","-4000.00",NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"0.00","9378",NULL
